duplicate_area_id,survivor_area_id,duplicate_name,survivor_name,survivor_display_name,survivor_new_parent_area_id,evidence,source_url
7562,4564,Lucid Boulders,Lucid Boulders,,,Lucid Boulders child repeats parent label with shared route evidence.,
9997,8610,Ponderosa Boulders,Ponderosa boulders,,,Ponderosa Boulders child repeats parent label; retain parent container.,
10045,9007,Rockbound Lake,Rockbound Lake,,,Rockbound Lake child exactly repeats parent label.,
10033,8928,The Cottage,The cottage,,,The Cottage child exactly repeats parent label.,
9425,7309,Kiss of the Lepers Buttress,Kiss of the Lepers Buttress,,,Kiss of the Lepers Buttress child exactly repeats parent label.,
9415,7239,Kolob Canyon,Kolob Canyon,,,Kolob Canyon child exactly repeats parent label.,
8733,6425,Bearspaw Bluffs,Bearspaw Bluffs,,,Bearspaw Bluffs child repeats parent; preserve other sector children under parent.,https://sendage.com/area/bearspaw-bluffs-calgary-area-ab-canada
9741,8205,The Pillary,The Pillary,,8207,"The Pillary child under Area 44 duplicates the better-used Brohm Lake Pillary. Merge its Boondocks child, then place survivor beneath canonical Area 44.",https://www.mountainproject.com/area/108504059/the-pillary
8264,6086,Behemoth,Behemoth,,,"One Skaha Behemoth crag has six exact route overlaps; Foreplay placement differs between sources, so retain direct Skaha parent.",https://quickdrawpublications.com/wp-content/uploads/updates/Skaha_Update_032025.pdf
8378,9775,Superman,Superman,,,"Superman crag is the same High Road/Kelowna site, with three exact route overlaps.",https://sendage.com/climb/battling-bulge-main-wall-high-road-boulderfields-klo-creek-kelowna-bc-canada
8198,9728,Foundation Wall,Foundation Wall,,,Foundation Wall is the Chek crag with two route overlaps.,
6277,8663,Weirdstone Wall,Weirdstone Wall,,,Weirdstone Wall is the Soo River Bluffs crag with two route overlaps.,
4449,7425,Bolam Pass,Bolam Pass,,,Bolam Pass belongs beneath Telluride and shares two exact routes.,https://www.mountainproject.com/area/122868796/telluride-bouldering
2915,2952,Villanueva de cauche,Villanueva del Cauche,,,Villanueva de cauche and Villanueva del Cauche are orthographic variants of one Andalusian crag.,
5341,5343,Jupiter-Petzina,Jupiter,Jupiter-Petzina,,Four exact route overlaps show Jupiter and Jupiter-Petzina are the same Leonidio crag; retain combined local name.,https://www.thecrag.com/en/climbing/leonidio/area/1522558296
7903,5358,Agios Andreas,Agios Andreas,,,Agios Andreas child repeats the parent name.,
7827,5137,Foten,Foten,,,Foten child repeats the parent name.,
5199,2472,Veaveggen,Veaveggen,,,Veaveggen child repeats the parent name.,
9666,7888,Strandväggen,Strandväggen,,,Strandväggen child repeats the parent name.,
4945,4944,Anatoli,Anatolia,,,Anatoli and Anatolia are one Turkish climbing sector with Session of Happiness route overlap.,https://www.8a.nu/crags/sportclimbing/turkey/anatolia/routes
277,207,Fern Point W.V.,Fern Point W.V,Fern Point,,Fern Point W.V. siblings differ only by punctuation and identify the same West Virginia crag.,
612,558,Livezey Ln,Livezey Ln.,,,Livezey Ln siblings differ only by punctuation and contain boulders.,
645,532,McConnells Mill,McConnell's Mill,,,McConnells Mill is the same named bouldering place as McConnell's Mill.,
1788,1078,Moormans,Moorman's,,,Moormans and Moorman's are the same named bouldering place.,
1883,1234,Mt. Woodson,Mt Woodson,,,Mt Woodson and Mt. Woodson are the same named San Diego climbing place.,
11388,6774,Névroses,Nevrose,,,Névroses is the source plural spelling of original Nevrose under Lac du Cap.,
17889,9634,"Hal Garner Memorial Crag, The",The Hal Garner Memorial Crag,,,"Hal Garner Memorial Crag, The repeats the original Hal Garner Memorial Crag beneath MFRP.",
26789,7664,Aspen Glade,Aspen Glades,Aspen Glade,,Aspen Glade and Aspen Glades share all 18 OpenBeta source route paths; original 7664 has 14 matched routes.,
13466,7013,Great Stone Face Rock Park,Great Stoneface Park,Great Stoneface Park,,Great Stone Face Rock Park and Great Stoneface Park are the same Berkeley park.,https://berkeleyca.gov/community-recreation/parks-recreation/parks/great-stoneface-park
13469,7014,Remillard Park,Remilard Park,Remillard Park,,Remilard Park and Remillard Park are the same Berkeley park; retain official spelling.,https://berkeleyca.gov/community-recreation/parks-recreation/parks/remillard-park
13574,6981,OK Corral,OK Coral,OK Corral,,OK Coral and OK Corral are the same Black Mountain area; seven original climbs were routed to the source spelling.,
19859,7083,Mud Spring Canyon,Mud Springs Canyon,,,Mud Spring Canyon and Mud Springs Canyon are the same Nevada crag.,
22170,7284,The Fourth Horseman,Fourth Horsemen,The Fourth Horseman,,Fourth Horseman and Fourth Horsemen are the same Smith Rock feature.,
24807,7230,Fringe Walls,Fringe Wall,,,Fringe Wall and Fringe Walls name the same nearby site.,
24814,7237,North Six Shooter Peak,North Six Shooter,North Six Shooter Peak,,North Six Shooter and North Six Shooter Peak name the same Utah summit.,
24818,7236,Petrified Hornet Wall,Petrified Hornet,Petrified Hornet Wall,,Petrified Hornet and Petrified Hornet Wall name the same site.,
25102,7191,Prophesy Wall,Prophecy Wall,Prophesy Wall,,Prophecy/Prophesy Wall are spelling variants at the same Utah parent.,
18225,4789,Annapolis Rock,Annapolis Rocks,,,Annapolis Rock and Annapolis Rocks are the same Maryland site; preserve seven detailed wall children.,
18069,7720,Canada Cliff,Canada Cliffs,,,Canada Cliff and Canada Cliffs name the same Acadia area; preserve Boulder and Rock subareas.,
11970,11969,43 mile crag,43 Mile,43 Mile,,43 Mile and 43 mile crag are the same Valdez roped site with nearby source GPS.,
15203,15202,Brink's Rock Area,Brink's Rock,,,Brink's Rock Area repeats Brink's Rock; source GPS separation is about two metres.,
21716,21715,Wash Rock Boulders,Wash Rock,,,Wash Rock Boulders and Wash Rock share the same NC boulder cluster within 14 metres.,
20247,20248,Main Cliff Boulders,"Main Cliff, The",,,Main Cliff Boulders and The Main Cliff are the same NH bouldering site within 20 metres.,
11130,11129,The Gnar Wall,Gnar Wall,,,The Gnar Wall child repeats parent name; move four climbs to parent.,
16850,16849,Beam Me Up Scotty Area,Beam Me Up Scotty Area,,,Beam Me Up Scotty Area child repeats parent name.,
16855,16852,Easy Crack Area,Easy Crack Area,,,Easy Crack Area child repeats parent name.,
16866,16864,Half Pipe Area,Half Pipe Area,,,Half Pipe Area child repeats parent name.,
17609,17608,House Boulders,House Boulders,,,House Boulders child repeats parent name.,
22590,22589,Ewing,Ewing,,,Ewing child repeats parent name.,
23872,23870,North Clear Creek,North Clear Creek,,,North Clear Creek child repeats parent name while sibling sectors remain.,
22468,22467,Druid Boulders [unsorted],Druid Boulders [sorted],Druid Boulders,,"Druid Boulders unsorted/sorted is source editorial organization, not two climbing areas.",
21479,21475,Golden Wall Area,The Golden Wall,,,Golden Wall Area bouldering facet and The Golden Wall roped facet are the same Peterskill wall by source GPS and guide hierarchy.,https://www.mountainproject.com/area/105896719/peterskill
18967,18973,Mini Fortress,Mini Fortress Area,Mini Fortress,,Mini Fortress and Mini Fortress Area represent one Minnesota site; the wall children remain.,
18110,18109,Roped,Jockey Cap,,,"Roped is a Jockey Cap activity heading, not a geographic child area.",
26060,4556,Granite Point Roped,Granite Point,,,Granite Point Roped is an activity heading beneath original Granite Point.,
26082,26068,Southwest Cascades,Southwest Cascades,,,"Southwest Cascades child repeats parent name; preserve Chimney Rocks, Rainier, Pinto Rock, Shark Rock and Tatoosh Range as children.",
1132,355,Chwa?ków,Chwałków,,,Chwałków/Chwa?ków encoding variants describe the same Polish place.,
291,230,Ciężkowice,Ciezkowice,,,Ciężkowice/Ciezkowice differ only by Polish spelling.,
780,426,The Darran's,Darrans,,,Darrans and The Darrans are the same named New Zealand climbing range.,
652,495,Dovedale,Dove Dale,,,Dove Dale and Dovedale are spacing variants of one named place.,
878,442,Draper's Bluff,Drapers Bluff,,,Drapers Bluff and Draper's Bluff are the same place; Kittens and its second pitch corroborate.,
675,661,Génat,Genat,,,Genat and Génat differ only by accent.,
1683,600,"Holtejn, Mor.kras","Holtejn, Mor. kras",,,Holštejn Mor. kras differs only by spacing/encoding.,
352,243,Kamien Leski,Kamień Leski,,,Kamień Leski differs only by Polish accent; a route-name variant corroborates.,
1456,856,The Mud Skulls,Mud Skulls,,,The Mud Skulls and Mud Skulls are the same named crag.,
276,272,Nö,NÖ,,,NÖ and Nö are case variants of one named place.,
1116,1084,Pe?cznica,Pełcznica,,,Pełcznica and Pe?cznica are encoding variants.,
846,811,Riugréixer,Riugreixer,,,Riugreixer and Riugréixer differ only by accent.,
1863,851,Saint-Pons,Saint Pons,,,Saint Pons and Saint-Pons share a route and name.,
1579,1150,San Nicolo,San Nicolò,,,San Nicolò and San Nicolo differ only by accent.,
1670,875,St Saturnin,St-Saturnin,,,St-Saturnin and St Saturnin differ only by punctuation.,
1800,1397,swedes forest,Swede's Forest,,,Swede's Forest and swedes forest are orthographic variants.,
982,719,T:Khao Yoi,T: Khao Yoi,,,T: Khao Yoi differs only by punctuation/spacing.,
1830,546,Pup Tent of Solitude,The Pup Tent of Solitude,,,Pup Tent of Solitude differs only by leading article.,
1781,653,Vanousovy díry,Vaňousovy díry,,,Vaňousovy díry and Vanousovy díry differ only by accent and share a route.,
929,211,Vila propicio,Vila Propício,,,Vila Propício differs only by case.,
1927,1636,Višnove,Visnove,,,Visnove and Višnove differ only by accent.,
1745,1686,Vyhlidkova skala,Vyhlídková skála,,,Vyhlídková skála differs only by accent.,
1330,1270,Wawoz Ostryszni,Wawóz Ostryszni,,,Wawóz Ostryszni differs only by accent.,
1345,606,südl. Frankenjura,südl Frankenjura,,,südl Frankenjura differs only by punctuation.,
1342,221,åland,Åland,,,Åland differs only by case; geographic island name.,
1301,1159,"Alkoholvegg, Lofoten","Alkohlvegg, Loften",,,Alkoholvegg is the same named Lofoten crag; Rom o cola route overlap.,
1482,1141,Curahee Mt.,Curahee Mtn.,,,Curahee Mtn/Mt are abbreviations; Mickey's Mantle route variant corroborates.,
1310,914,Burnage North,Burnage Nth,,,Burnage Nth/North are abbreviations of one named place.,
1294,1173,Cape Spencer,"Cape Spencer, NB",,,Cape Spencer NB and Cape Spencer describe the same named New Brunswick place.,
1126,1056,Coal Mounatin,Coal Mountain,,,Coal Mounatin is a typo for Coal Mountain.,
1860,1003,Coup de Rore,Coup di Rore,,,Coup di Rore is a spelling variant of Coup de Rore.,
1848,1774,Cove Holow,Cove Hollow,,,Cove Holow is a typo for Cove Hollow.,
1789,1696,Dardanelle Rock,"Dardanelle Rock, AR",,,Dardanelle Rock AR and Dardanelle Rock are one Arkansas site.,
1086,883,Etterzhausener Wände,Ettertzhausener Wände,,,Ettertzhausener Wände is an orthographic spelling variant.,
841,825,Fallbrook,"Fallbrook, CA",,,Fallbrook CA and Fallbrook describe the same place in California.,
1765,805,Holledaren,Hollendaren,,,Hollendaren and Holledaren are typo variants.,
1786,1752,Lassen Devastated A,Lassen Devastated Area,,,Lassen Devastated Area is a repeated name variant of the same California site.,
646,512,Metaline,"Metaline, WA",,,Metaline WA and Metaline describe the same Washington place.,
1401,351,Rifugio Barbarra,Rifugio Barbara,,,Rifugio Barbarra is a typo for Rifugio Barbara.,
1951,1813,"Riverside Dr, Richmond","Riverside Dr, Richmond Va",,,Riverside Dr Richmond VA and Riverside Drive Richmond are the same named city site.,
839,570,Roche de St Julien,Roche De Saint Julien,,,Roche De Saint Julien and Roche de St Julien are abbreviation variants.,
1790,476,Sokole Góy,Sokole Góry,,,Sokole Góry and Sokole Góy are typo variants.,
1134,517,Trois Rivieres,Trois Rivere,,,Trois Rivere and Trois Rivieres are spelling variants.,
1764,1006,Val Massino,Val Masino,,,Val Masino and Val Massino are spelling variants of one Italian valley.,
1544,1175,Wielka Skala,Wielka Skała,,,Wielka Skała differs only by Polish accent.,
901,484,Gorges du Houx,gorge du houx,,,gorge du houx and Gorges du Houx are singular/plural variants.,
15523,15528,McInnis Canyon,McInnis Canyons,,,McInnis Canyon Bouldering and McInnis Canyons are an activity split within one official conservation area.,https://www.blm.gov/programs/national-conservation-lands/colorado/mcinnis-canyons
17275,17274,Castle Rocks,Castle Rocks,,,Castle Rocks child repeats the same Idaho place after source Bouldering heading was removed; merge 111 roped routes into geographic parent.,
18926,7756,550,550 Bouldering,550,18925,Generated 550 bouldering routes belong with original 550 Bouldering and its Wetmore Landing child; use neutral geographic name.,https://www.mountainproject.com/area/120752474/marquette-and-central-up-bouldering
18933,7756,550 Roped,550,,,550 Roped is the same highway 550 geography; combine discipline facets while retaining every climb.,https://www.mountainproject.com/area/118171033/upper-peninsula
18941,18929,Presque Isle,Presque Isle,,,Presque Isle roped and bouldering source facets are one Marquette island area; retain all routes.,https://www.mountainproject.com/area/118171033/upper-peninsula
18932,18925,Marquette (and Central UP) Roped,Marquette (and Central UP),,,Marquette Roped and Marquette Bouldering are one geographic region after child 550/Presque Isle branches are reconciled.,https://www.mountainproject.com/area/118171033/upper-peninsula
6483,6474,Hidden Valley,Hidden Valley,,,Hidden Valley siblings in Jasper have the same name and sport route overlap; survivor has full route inventory.,
6493,6462,Tonquin,Tonquin,,,Tonquin siblings in Jasper have the same name and boulder route overlap.,
6296,6292,Jackpot Boulders,Jackpot Boulders,,,Jackpot Boulders siblings in Pemberton are one named boulder sector with the same parent.,
6293,6290,Lost Boulders,Lost Boulders,,,Lost Boulders siblings in Pemberton are one named boulder sector with the same parent.,
6262,6256,Pass Creek,Pass Creek,,,Pass Creek siblings in West Kootenay are one geographic area; retain the original detailed child tree.,
4924,4916,Cocosolo,Cocosolo,,,Cocosolo siblings in Viñales are one named sport crag.,
4917,4909,Cueva Cabeza De La Vaca,Cueva Cabeza De La Vaca,,,Cueva Cabeza De La Vaca siblings in Viñales are one named sport cave.,
8650,8634,Ladybird,Ladybird Boulders,,,Three exact boulders show Ladybird under Pass Creek and Ladybird Boulders under Norns are one sector; retain larger ID and place it beneath Pass Creek.,https://justanotheroutdoorpage.blogspot.com/2016/07/ladybird-creek-boulders-pass-creek-bc.html
460,546,The Pup Tent,The Pup Tent of Solitude,,,The Pup Tent routes Girls With Guns and Subprime appear in Mountain Project Pup Tent of Solitude; same Colorado crag.,https://www.mountainproject.com/area/106947989/pup-tent-of-solitude
592,546,Pup Tent,The Pup Tent of Solitude,Pup Tent of Solitude,,Pup Tent route Magical Handhold appears in Mountain Project Pup Tent of Solitude; same Colorado crag.,https://www.mountainproject.com/area/106947989/pup-tent-of-solitude
6312,3632,Furry Creek,Furry Creek,,,Furry Creek child repeats the geographic parent name and has no more specific label; preserve the five other named sibling sectors.,
18748,18745,Greater Boston Boulders,Greater Boston,,,Greater Boston Boulders is an activity heading under Greater Boston; Hard Knox Rocks and Lawrence Road Cut remain specific child areas.,
9382,7074,Calico Basin Boulders,Calico Basin,,,"Calico Basin Boulders is an activity heading under Calico Basin, which already has both boulder and roped climbs.",
5959,3609,Boulders,Trillium Park,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
7200,4253,Boulders,Welcome Springs,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
8483,6180,Boulders,Horne Lake,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
9692,8102,Boulders,Neat and Cool,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
16883,16882,Boulders,Buford Dam Boulders,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
16892,16891,Boulders,Currahee Mountain,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
19067,19066,Boulders,Vermillion Gorge,,,Generic Boulders activity heading adds no geographic specificity; retain its routes and named children directly under the parent area.,
4641,7621,Upper Meadow,Upper Meadow,,,Upper Meadow duplicates the more specific Meadow River Gorge area and shares Cross-Eyed and Blind.,https://www.mountainproject.com/area/106490004/meadow-river-gorge
7976,5811,Latvian Ledge,Latvian Ledge Area,,,Latvian Ledge under Scalphunter duplicates Latvian Ledge Area; Mountain Project makes Latvian Ledge and Scalphunter sibling areas.,https://www.mountainproject.com/area/109084447/lions-head
3895,6746,Le Dôme,Le Dôme,,,Le Dôme route Granuleuse matches the Grands Jardins Le Dôme route; keep more specific parent.,https://www.escaladequebec.com/pour-une-premiere-visite-dans-les-grands-jardins/
23676,23693,Asteroid,Asteroid,,,Two Asteroid boulder nodes at Old Wauhatchie Pike have near-identical GPS; keep Upper Boulders placement.,https://www.lookoutmountainconservancy.org/bouldering
24067,24070,Emerald Pools Sector,Emerald Pools Sector,,,Emerald Pools Sector shares Hi-Ho Cherry-O and belongs beneath Shumla Bend Area.,
24068,24071,Painted Canyon Sector,Painted Canyon Sector,,,Painted Canyon Sector belongs beneath Shumla Bend Area; Mountain Project places Picnic there.,https://www.mountainproject.com/climbing-near-me/ciudad-acuna-mx-coa
16663,16781,Right Knee,Right Knee,,,Right Knee bouldering and roped facets are one Sleeping Giant State Park sector.,https://www.thecrag.com/en/climbing/united-states/sleeping-giant-state-park
16658,16779,Sleeping Giant,Sleeping Giant State Park,,,Sleeping Giant bouldering and roped source branches represent one State Park; preserve detailed children.,https://www.thecrag.com/en/climbing/united-states/sleeping-giant-state-park
16675,16785,Blue Trail Section,Blue Trail Section,,,Blue Trail Section bouldering and roped facets are one Webb Mountain Park crag.,https://www.mountainproject.com/area/109256371/webb-mountain-park
16674,16784,Webb Mountain Park,Webb Mountain Park,,,Direct-Connecticut Webb Mountain Park duplicates the detailed Western Coastal Slope branch.,https://www.mountainproject.com/area/109256371/webb-mountain-park
10021,8848,The Flintstones Wall,The Flintstones Wall,,,Two Cougar Canyon Flintstones Wall nodes have identical source GPS; OpenBeta makes it a sibling of House of Cards.,https://openbeta.io/area/1caf95b0-2c0d-52d7-b886-203bf425a391/cougar-canyon-creek-construction-in-progress
8682,6288,Cosmic Boulders,Cosmic Boulders,,,Cosmic Boulders under Slug Boulders duplicates Pemberton Cosmic Boulders; publisher lists Slug and Cosmic as siblings.,https://quickdrawpublications.com/wp-content/uploads/2014/02/SB-Table-of-Contents.pdf
12299,12307,West Clear Creek,West Clear Creek,,,West Clear Creek bouldering facet duplicates the more specific Central Mogollon Rim West Clear Creek.,
13629,13642,Buck Rock,Buck Rock,,,Buck Rock source branches are one rock with boulder and roped routes; keep more specific direct branch.,https://www.mountainproject.com/area/108155814/buck-rock
14553,14720,Pike's Peak,Pike's Peak,,,Pike’s Peak under CO Ice & Mixed is an activity branch of the same peak under Colorado Springs.,https://www.mountainproject.com/area/106201866/pikes-peak
5999,9687,The Sanitarium,The Sanitarium,,,Sanitarium source nodes have identical GPS; retain more specific Sanctuary > Sanitarium placement.,https://www.mountainproject.com/route/114523567/six-fingers
17602,17597,Devils Standtable,Devils Standtable Area,,,Park > Devils Standtable boulders belong in broader Devils Standtable Area; retain physical standtable child separately.,https://www.mountainproject.com/area/106612569/giant-city-state-park
9479,7512,The Samurai,The Samurai,The Samurai Area,,"The Samurai/Midnight Lichen boulder cluster appears in both Gold Bar branches; route-level guide evidence places Lichen It beside Midnight Lichen, so Clearcut is a misleading catalog parent.",https://www.mountainproject.com/route/118981082/lichen-it
9397,9389,Moderate Mecca,Moderate Mecca,,7075,Moderate Mecca at Calico Basin and Moderate Mecca under Red Springs are one crag; move the canonical 24-route ID under Red Springs after merging one-route duplicate.,https://www.mountainproject.com/area/105732021/moderate-mecca
10085,9712,Capone Wall,Capone Wall,,,The nested Halfway House Capone Wall duplicates Rogue’s Gallery Capone Wall. Sanctuary climb 40 first moves to Halfway House; Chromatic Suspension and Fawlty Towers remain at Capone.,https://www.mountainproject.com/area/106059545/rogues-gallery
817,3379,FlockHill,Flock Hill,,,Flock Hill spelling under Unknown has a named boulder; consolidate into the existing New Zealand Flock Hill area.,https://www.thecrag.com/en/climbing/new-zealand/castle-hill-basin/area/11871517
847,3379,"Flock, Hill, CH",Flock Hill,,,Flock Hill CH abbreviation under Unknown refers to Castle Hill New Zealand bouldering area.,https://www.thecrag.com/en/climbing/new-zealand/castle-hill-basin/area/11871517
852,3379,"Flock Ill, C.H.",Flock Hill,,,Foops at Flock Ill C.H. appears at New Zealand Flock Hill; consolidate into existing geographic area.,https://www.thecrag.com/en/climbing/new-zealand/castle-hill-basin/area/11871517
1531,3379,CH - Flock Hill,Flock Hill,,,Camp America at CH - Flock Hill is explicitly listed at New Zealand Flock Hill.,https://tota.nz/castlehill/flockhill.html
215,15921,Millennium,"Millenium Boulder, The",,,Ghost Dance sit and Goat Dyno at Unknown Millennium belong to Matthews-Winters Millenium Boulder; preserve start variants.,https://www.mountainproject.com/area/105746206/the-millenium-boulder
222,15921,Millenium,"Millenium Boulder, The",,,Ghost Dance and Purity Control at Unknown Millenium belong to Matthews-Winters Millenium Boulder; preserve climb IDs.,https://www.mountainproject.com/area/105746206/the-millenium-boulder
1306,299,Bar Harbour,Bar Harbor,,,Bar Harbour and Bar Harbor are the same named Maine town; both original boulder areas contain a Tug Boat climb though grade differs and route identity stays for review.,
4411,15921,Millennium Boulder,"Millenium Boulder, The",Millennium Boulder,,Original state-root Millennium Boulder contains only Matthews-Winters boulders after five wrong-branch Eldorado trad routes are redirected to Millennium Crag. Ghost Dance/Purity Control corroborate identity.,https://www.mountainproject.com/area/105746206/the-millenium-boulder
795,2181,Krzyworzeka,Krzyworzeka,,,Five same named/graded routes locate Unknown Krzyworzeka at geographic Polish Krzyworzeka.,
794,3456,Fruehauf,Freuhaf,Fruehauf,,Four same routes show Unknown Fruehauf is the Australian Freuhaf crag.,
306,2962,Sant Llorenç de Montgai,Sant Llorenç de Montgai,,,Four route overlaps locate Sant Llorenç de Montgai at its Spanish geographic area.,
259,3406,Whakapapa,Whakapapa,,,Four route overlaps locate Unknown Whakapapa at New Zealand Whakapapa.,
1088,2293,Cap Dramont,Cap du Dramont,,,Three route overlaps identify Cap Dramont with French Cap du Dramont.,
459,3392,Brittle Crag,Britten Crags,,,Brittle Crag is a typo for New Zealand Britten Crags with matching rare routes.,
1488,3392,Britten Crag,Britten Crags,,,"Britten Crag is the same New Zealand Britten Crags area, with route overlap.",
1256,2918,Sadenres,Sadernes,,,Sadenres is a typo for Catalonian Sadernes with two route overlaps.,
1370,3465,Sisters Beach,Sisters Beach,,,Sisters Beach original matches the Australian geographic Sisters Beach routes.,
395,5645,"Spittle Hill, CH",Spittle Hill,,,Spittle Hill CH routes match the specific Spittle Hill child of Castle Hill.,https://www.mountainproject.com/area/106093453/castle-hill
1356,5645,Spitle Hill,Spittle Hill,,,Spitle Hill is a typo for New Zealand Spittle Hill; one distinctive route corroborates.,https://www.mountainproject.com/area/106093453/castle-hill
