area_id,expected_old_parent_id,parent_source_path,parent_existing_area_id,evidence,confidence,source_url,expected_parent_path
7754,4841,,23428,South Seas is within Mount Rushmore National Memorial.,high,https://www.mountainproject.com/area/105714453/mount-rushmore-national-memorial,"North America > United States > South Dakota > Needles Of Rushmore, The > Mount Rushmore National Memorial"
7267,4277,,24952,This original Long Canyon belongs to Potash Road rather than the separate Grand Staircase Long Canyon source branch.,high,https://www.mountainproject.com/area/106285858/potash-road,North America > United States > Utah > Southeast Utah > Potash Road
4533,109,,25755,"Original Banks Lake boulders belong within the broader Banks Lake and Northrup Canyon source area, with distinct route names from the newer canyon climbs.",high,https://www.mountainproject.com/route/112151133/jive-turkey,North America > United States > Washington > Central Region > Banks Lake / Northrup Canyon
4138,98,,13032,Bear Valley lies on Ebbetts Pass Highway 4 corridor.,high,https://www.gocalaveras.com/bay-to-bear-road-trip-highway-4-and-the-ebbetts-pass-scenic-byway/,North America > United States > California > Tahoe > Ebbets Pass Highway (4)
4128,98,,13022,Calaveras Domes is accessed from Highway 88/Ellis Road and is under the Carson Pass Highway 88 climbing region.,high,https://resources.ca.gov/CNRALegacyFiles/wp-content/uploads/2018/01/mokelumne-river-wild-and-scenic-study-report.pdf,North America > United States > California > Tahoe > Carson Pass Highway (88)
6943,4028,,13049,The Emeralds is the Emeralds subsection of the Bowman/Emeralds source area in the I-80 corridor.,high,https://www.mountainproject.com/area/114347347/bowmanemeralds,North America > United States > California > Tahoe > I-80 Corridor > Bowman/Emeralds
7619,4640,,26144,Mountain Project and the OpenBeta path place original Endless Wall under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7627,4640,,26144,Mountain Project and the OpenBeta path place original Bubba City under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7618,4640,,26144,Mountain Project and the OpenBeta path place original Kaymoor under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7620,4640,,26144,Mountain Project and the OpenBeta path place original Beauty Mountain under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7623,4640,,26144,Mountain Project and the OpenBeta path place original Fern Buttress under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7629,4640,,26144,Mountain Project and the OpenBeta path place original Bridge Area under New River Gorge Proper; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106040788/new-river-gorge-proper,North America > United States > West Virginia > New River Gorge > New River Gorge Proper
7615,4640,,26142,Mountain Project and the OpenBeta path place original Meadow Top under Meadow River Gorge; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106490004/meadow-river-gorge,North America > United States > West Virginia > New River Gorge > Meadow River Gorge
7626,4640,,26142,Mountain Project and the OpenBeta path place original Lower Meadow under Meadow River Gorge; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106490004/meadow-river-gorge,North America > United States > West Virginia > New River Gorge > Meadow River Gorge
7621,4640,,26142,Mountain Project and the OpenBeta path place original Upper Meadow under Meadow River Gorge; retain all original area and climb IDs.,high,https://www.mountainproject.com/area/106490004/meadow-river-gorge,North America > United States > West Virginia > New River Gorge > Meadow River Gorge
5961,3611,,5970,Mountain Project lists this bouldering area under Stawamus Chief; original The Chief ID5970 is the reviewed same-place alias.,high,https://www.mountainproject.com/area/105805895/stawamus-chief,North America > Canada > British Columbia > Squamish > The Chief
5962,3611,,5970,Mountain Project lists this bouldering area under Stawamus Chief; original The Chief ID5970 is the reviewed same-place alias.,high,https://www.mountainproject.com/area/105805895/stawamus-chief,North America > Canada > British Columbia > Squamish > The Chief
8204,5968,,10793,"Mountain Project lists Cat Lake directly beneath Sea to Sky (Squamish to Whistler), as a sibling of Brohm Lake, not within Brohm Lake.",high,https://www.mountainproject.com/area/105958219/sea-to-sky-squamish-to-whistler,North America > Canada > British Columbia > Sea to Sky (Squamish to Whistler)
8210,5968,,10793,"Mountain Project lists Brohm Dome directly beneath Sea to Sky (Squamish to Whistler), as a sibling of Brohm Lake, not within Brohm Lake.",high,https://www.mountainproject.com/area/105958219/sea-to-sky-squamish-to-whistler,North America > Canada > British Columbia > Sea to Sky (Squamish to Whistler)
7270,4277,,24697,"Kane Springs Canyon is a direct Southeast Utah climbing area in Mountain Project/OpenBeta, not a child of the broad original Moab catch-all.",high,https://www.mountainproject.com/area/105716793/kane-springs-canyon,North America > United States > Utah > Southeast Utah
7265,4277,,24953,Zen Garden (Ninja Training Cave) is in Culvert Canyon on Potash Road; retain the original route subtree at this more specific location.,high,https://www.mountainproject.com/area/110118471/zen-garden-aka-ninja-training-cave,North America > United States > Utah > Southeast Utah > Potash Road > Culvert Canyon
4527,109,,25905,Ryan's Wall was originally Newhalem; source Upper Skagit Valley contains Newhalem and Ryan's Wall climbs.,high,https://www.mountainproject.com/area/106116502/ryans-wall,North America > United States > Washington > Northwest Region > Hwy 20 and North Cascades National Park > Upper Skagit Valley
7735,4795,,17858,Chocolate Factory is beside Motherlode within Bald Rock Fork Recreational Preserve.,high,https://www.mountainproject.com/area/106229629/chocolate-factory,North America > United States > Kentucky > Red River Gorge > Bald Rock Fork Recreational Preserve (BRRP)
3984,96,,3983,"Fountain Red is a Cowell sector, supported by eleven shared named climbs.",high,https://thetopo.com/crags/cowell/routelist/fountaine-red,North America > United States > Arkansas > North-Central Arkansas > Cowell/Deer Area > Cowell
4484,108,,4416,Wolverine Land boulders belong under Mt Evans; four named climbs overlap.,high,,North America > United States > Colorado > Alpine Rock > Mt Evans
8257,5993,,8205,"Berlin Wall is within the Pillary extension of Area 44, according to Mountain Project.",high,https://www.mountainproject.com/area/108504059/the-pillary,North America > Canada > British Columbia > Squamish > Brohm Lake > The Pillary
4669,115,,4678,Grandmother Mountain is a specific Boone climbing area; three original route names overlap.,high,https://thetopo.com/crags/grandmother-boulders-boone-nc/routelist,North America > United States > North Carolina > Boone
7730,4795,,17858,"Motherlode and Chocolate Factory are neighboring BRRP crags, not parent and child.",high,https://www.mountainproject.com/area/112439039/brrp-bald-rock-recreational-preserve,North America > United States > Kentucky > Red River Gorge > Bald Rock Fork Recreational Preserve (BRRP)
4066,98,,4034,Lizard’s Mouth is a Santa Barbara climbing area; broad Santa Barbara route duplicates need separate climb-ID review.,high,,North America > United States > California > Central Coast > Santa Barbara
4093,98,,4034,Skofield Park is a Santa Barbara park; broad Santa Barbara route duplicates need separate climb-ID review.,high,,North America > United States > California > Central Coast > Santa Barbara
4936,1959,,4937,"Trebenna West is a specific sector of the larger Trebenna area, not the same entire crag.",high,,Asia > Turkey > Geyik bayiri > Trebenna
7075,4177,,7074,Red Springs and its named walls belong beneath Calico Basin in Mountain Project’s local hierarchy.,high,https://www.mountainproject.com/area/105732021/moderate-mecca,North America > United States > Nevada > Southern Nevada > Red Rocks > Calico Basin
9388,7074,,7075,Red Springs and its named walls belong beneath Calico Basin in Mountain Project’s local hierarchy.,high,https://www.mountainproject.com/area/105732021/moderate-mecca,North America > United States > Nevada > Southern Nevada > Red Rocks > Calico Basin > Red Springs
9391,7074,,7075,Red Springs and its named walls belong beneath Calico Basin in Mountain Project’s local hierarchy.,high,https://www.mountainproject.com/area/105732021/moderate-mecca,North America > United States > Nevada > Southern Nevada > Red Rocks > Calico Basin > Red Springs
