openbeta_path,expected_wrong_area_path,expected_parent_path,expected_new_routes,evidence,confidence,parent_existing_area_id,source_parent_segment_count,override_parent_source_path
"United States > Colorado > South Platte > Cathedral Spires Area > Dome, The",North America > United States > Colorado > Boulder > Boulder Canyon > The Dome,North America > United States > Colorado > South Platte > Cathedral Spires,10,Cathedral Spires Dome is separate from Boulder Canyon Dome.,high,4495,2,
"United States > Colorado > Steamboat Springs > Sarvis Creek Domes > Dome, The",North America > United States > Colorado > Boulder > Boulder Canyon > The Dome,North America > United States > Colorado > Steamboat Springs > Sarvis Creek Domes,5,Sarvis Creek Dome is separate from Boulder Canyon Dome.,high,,,
United States > New Mexico > Truth or Consequences Area > Mud Mountain > Winter Wall,North America > United States > New Mexico > Santa Fe Area > Diablo Canyon > Winter Wall,North America > United States > New Mexico > Truth or Consequences Area > Mud Mountain,18,Mud Mountain Winter Wall is separate from Santa Fe Diablo Canyon Winter Wall.,high,,,
United States > West Virginia > Northern WV > Coopers Rock State Forest > Campground Boulders,North America > United States > West Virginia > New River Gorge > Campground Boulders,North America > United States > West Virginia > Northern WV > Coopers Rock State Forest,10,Coopers Rock Campground Boulders is separate from New River Gorge Campground Boulders; https://www.mountainproject.com/area/107035297/coopers-rock-state-forest,high,,,
Canada > Quebec > Abitibi-Temiscamingue > Corn Flakes > Secteur principal,North America > Canada > Québec > Parc récréoforestier Saint-Mathieu > Secteur Principal,North America > Canada > Québec > Abitibi-Temiscamingue > Corn Flakes,16,Corn Flakes Secteur principal is geographically separate from Parc recreoforestier Saint-Mathieu.,high,,,
Canada > Ontario > Ontario South Bouldering and Rock > Metcalfe Rock > Gully Area,North America > Canada > Ontario > Ontario South > Devil's Glen > Gully Area,North America > Canada > Ontario > Ontario South > Metcalfe Rock,8,Metcalfe Rock Gully is separate from Devils Glen Gully.,high,,,
Canada > British Columbia > Sea to Sky (North of Whistler) > Suicide Bluff > South Beach,North America > Canada > British Columbia > Pebble Beach > South Beach Area,North America > Canada > British Columbia > Sea to Sky (North of Whistler) > Suicide Bluff,7,Suicide Bluff South Beach is separate from Pebble Beach South Beach; https://www.mountainproject.com/area/114508188/suicide-bluff,high,,,
Canada > British Columbia > Kootenays West > Ladybird Creek Boulders > Circus Boulders,North America > Canada > British Columbia > Squamish > Cheakamus Canyon > Chek > The Circus,North America > Canada > British Columbia > West Kootenay > Ladybird Creek Boulders,0,Ladybird Creek Circus Boulders is separate from Squamish Chek The Circus.,high,,,
"United States > Washington > Okanogan > Mount Hull - Lower SW Face (Oroville) > Far East, The",North America > United States > Washington > Central-West Cascades & Seattle > Skykomish Valley > Gold Bar > Far East Boulders,North America > United States > Washington > Okanogan > Mount Hull - Lower SW Face (Oroville),0,Mount Hull Far East is separate from Gold Bar Far East Boulders.,high,,,
United States > Colorado > Boulder > Eldorado Mountain > Ridge 1,North America > United States > Colorado > Boulder > Flatirons > North > Ridge 1,North America > United States > Colorado > Boulder > Eldorado Mountain,20,Eldorado Mountain Ridge 1 is separate from Flatirons Skunk Canyon Ridge 1; https://www.mountainproject.com/area/105745849/ridge-1,high,,,
United States > Colorado > South Platte > Saylor Park Boulders > Overlook Boulders,North America > United States > Colorado > South Platte > Staunton State Park > The Overlook,North America > United States > Colorado > South Platte > Saylor Park Boulders,2,Saylor Park Overlook is separate from Staunton State Park The Overlook.,high,,,
"United States > Colorado > Idaho Springs > Fin, The",North America > United States > Colorado > Estes Park Valley > Estes Park > Jurassic Park > Fin,North America > United States > Colorado > Idaho Springs,1,Idaho Springs Fin is separate from Estes Park Jurassic Park Fin; https://www.mountainproject.com/route/105756829/cgs-naked-fun-time,high,,,
Canada > British Columbia > Sea to Sky (North of Whistler) > Pemberton Boulders > No Name Boulder,North America > Canada > British Columbia > Revelstoke > Hardman Boulders > No Name,North America > Canada > British Columbia > Sea to Sky (North of Whistler) > Pemberton Boulders,0,Pemberton No Name Boulder is separate from Revelstoke Hardman No Name; https://sendage.com/area/hardman-boulders-revelstoke-bc-canada,high,,,
Canada > British Columbia > Okanagan > Ellison Park > Lakeside Wall,North America > Canada > British Columbia > Okanagan > Cougar Canyon > Lakeside Wall,North America > Canada > British Columbia > Okanagan > Ellison Park,0,Ellison Park Lakeside Wall is separate from Cougar Canyon Lakeside Wall.,high,,,
United States > Washington > Olympics & Pacific Coast > Olympic National Park > Mt. Washington,North America > United States > Washington > Olympics & Pacific Coast > Olympic National Park > Mt. Washington,North America > United States > Washington > Olympics & Pacific Coast > Olympic National Forest,1,Mountain Project places this Mt. Washington beneath Olympic National Forest rather than Olympic National Park.,high,,2,United States > Washington > Olympics & Pacific Coast > Olympic National Forest
United States > Nevada > Western Nevada > Lone Mountain > GemField Boulders,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > GemField Boulders,North America > United States > Nevada > Western Nevada > Lone Mountain,4,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Locatelli/Harrison 1,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Locatelli/Harrison 1,North America > United States > Nevada > Western Nevada > Lone Mountain,1,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Locatelli/Harrison 2,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Locatelli/Harrison 2,North America > United States > Nevada > Western Nevada > Lone Mountain,1,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Lower Formation,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Lower Formation,North America > United States > Nevada > Western Nevada > Lone Mountain,7,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Merlin Monroe,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Merlin Monroe,North America > United States > Nevada > Western Nevada > Lone Mountain,2,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
"United States > Nevada > Western Nevada > Lone Mountain > Molar, The","North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Molar, The",North America > United States > Nevada > Western Nevada > Lone Mountain,7,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Mushroom Dome,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Mushroom Dome,North America > United States > Nevada > Western Nevada > Lone Mountain,2,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Pineapple,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Pineapple,North America > United States > Nevada > Western Nevada > Lone Mountain,2,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
"United States > Nevada > Western Nevada > Lone Mountain > Ramp, The","North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Ramp, The",North America > United States > Nevada > Western Nevada > Lone Mountain,2,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Raven Haven,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Raven Haven,North America > United States > Nevada > Western Nevada > Lone Mountain,6,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Sharks Tooth,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Sharks Tooth,North America > United States > Nevada > Western Nevada > Lone Mountain,2,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Small Walls,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Small Walls,North America > United States > Nevada > Western Nevada > Lone Mountain,4,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Stiff and Splits Dome,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Stiff and Splits Dome,North America > United States > Nevada > Western Nevada > Lone Mountain,12,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Tear Drop Dome,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Tear Drop Dome,North America > United States > Nevada > Western Nevada > Lone Mountain,10,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Troll,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Troll,North America > United States > Nevada > Western Nevada > Lone Mountain,3,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Nevada > Western Nevada > Lone Mountain > Water Works,North America > United States > Nevada > Southern Nevada > La Madre Range > Lone Mountain > Water Works,North America > United States > Nevada > Western Nevada > Lone Mountain,4,Western Nevada Lone Mountain is a distinct climbing region from Las Vegas La Madre Range Lone Mountain; source GPS is roughly 250 km away and Mountain Project places these crags in Western Nevada: https://www.mountainproject.com/area/110236336/lone-mountain,high,,,
United States > Colorado > Boulder > Eldorado Canyon State Park > Millennium Crag,North America > United States > Colorado > Millennium Boulder,North America > United States > Colorado > Boulder > Eldorado Canyon,5,"The five trad routes are at Eldorado Canyon Millennium Crag, distinct from Matthews-Winters Millennium Boulder; the shared leaf word caused a false state-level anchor.",high,4423,2,
