first_area_id,second_area_id,verdict,reason,evidence_url
9584,9587,distinct_areas,The Zoo and New Zoo are separate Red River Gorge sectors.,https://www.thecrag.com/en/climbing/united-states/red-river-gorge/area/14528377
10918,10919,legitimate_parent_child,Buntzen Lake Boulders are a physical cluster within broad Buntzen Lake.,
13086,13087,distinct_areas,Crystal Lake Boulders and Crystal Lake Crag are separate physical sectors with different climb types.,
14690,14691,distinct_areas,The Buttress Boulder is an individual boulder near 1st Middle Buttress.,
15255,15256,distinct_areas,Curve Block and its alleged Boulders branch have source centers several kilometres apart.,
15947,15948,distinct_areas,Atomic Energy and Atomic Energy Crag source centers are about 15 km apart.,
18336,18337,distinct_areas,Balcony Rock Boulders are a physical field beside the roped Balcony Rock.,
18690,18691,distinct_areas,Ship’s Prow Boulder is an individual rock beside the roped Ship’s Prow.,
18780,18811,route_overlap_only,Cape Ann and Lynn Woods are about 25 km apart despite several same-named routes.,https://www.mountainproject.com/route/107291728/on-the-spectrum
20340,20341,distinct_areas,Artist’s Bluff Boulder is an individual rock beside the roped bluff.,
21369,21375,legitimate_parent_child,"Swath Boulders are a specific sector of The Swath, beside Stockade Wall.",
21971,21972,distinct_areas,Backside Boulders and Backside are separately numbered source sectors.,
23424,23425,distinct_areas,Turtle Dome Boulders are a separate cluster beside the roped dome.,
24495,24497,legitimate_parent_child,Wimberley Boulders are a specific sector within Wimberley.,
24584,24585,distinct_areas,Rock Creek and Rock Creek Boulder source centers are about 16 km apart.,
24627,24628,legitimate_parent_child,Moon Lake boulders are a physical sector within Moon Lake.,
24647,24648,legitimate_parent_child,Big Water Boulders are a broad boulder field within Big Water Area.,
11124,11152,distinct_areas,Dover Island and Polly’s Cove are different coastal warm-up sites.,
11559,11594,distinct_areas,Mont Wright and Vieux-Stoneham have separate Main Walls.,
17032,17037,distinct_areas,Tallulah Gorge and Turtle are different Georgia crags with generic Main Wall names.,
18043,18052,distinct_areas,Big Chick Hill and Parks Pond Bluff have separate Main Faces.,
18962,19002,distinct_areas,Bur Oak Trail broad boulders and South Quarry roped sector cover different parts of a one-mile trail.,https://files.dnr.state.mn.us/maps/state_parks/spk00121.pdf
20324,20333,distinct_areas,Mt Willard and Webster Slabs have separate Main Slabs.,
20392,20411,distinct_areas,Found Ledge and Sundown Ledge have separate Main Cliffs.,
20392,20418,distinct_areas,Found Ledge and Woodchuck Ledge have separate Main Cliffs.,
20411,20418,distinct_areas,Sundown Ledge and Woodchuck Ledge have separate Main Cliffs.,
22820,22834,distinct_areas,Rob’s Knob and Lost Crag have separate Entrance Blocks.,
23003,23085,distinct_areas,El Portal and Super Crack 2 have separate Upper Walls.,
23732,23814,distinct_areas,Dayton Pocket/Laurel Falls bouldering and Laurel Falls roped crag are separate sites.,
13889,13893,distinct_areas,Suicide Rock and Tahquitz Rock are separate formations with generic North Face labels.,
13888,13892,distinct_areas,Suicide Rock and Tahquitz Rock are separate formations with generic Northeast Buttress labels.,
13873,13900,distinct_areas,Suicide Rock and Tahquitz Rock are separate formations with generic South Face labels.,
26512,26527,distinct_areas,Bridge Bands and East Bridge Bands are separate Cody crags with generic West End labels.,https://www.mountainproject.com/area/106157878/cody
10712,10713,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
12151,12152,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
12456,12457,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
13178,13179,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
13264,13265,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
14273,14274,distinct_areas,High Energy Crag and Higher Energy Crag are separately listed Boulder Canyon crags.,https://www.mountainproject.com/area/105744222/boulder-canyon
15179,15180,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
16906,16907,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
16906,16908,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
16907,16908,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
16987,16988,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
17686,17687,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
17997,17998,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
19522,19523,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
27307,27308,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
20635,20636,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
21249,21250,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
21592,21593,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
22850,22851,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
23037,23038,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
23805,23806,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
24022,24023,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
24095,24096,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
25712,25713,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26125,26126,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26191,26192,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26204,26205,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26351,26352,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26383,26384,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26385,26386,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
26748,26750,distinct_areas,"Directional, numbered, or separately named sectors/objects at the same larger crag; source GPS is shared and route sets do not overlap.",
1217,4081,needs_geography,"Mullet Cave and The Bat Cave share three rare routes, but their area relationship is unverified; keep the more specific cave label.",
809,8218,needs_geography,Generic Dihedrals label under Unknown lacks geography; Squamish candidate has no route overlap.,
809,4862,needs_geography,Generic Dihedrals label under Unknown lacks geography; Mexico candidate has no route overlap.,
809,9220,needs_geography,Generic Dihedrals label under Unknown lacks geography; Owens River Gorge candidate has no route overlap.,
809,7292,needs_geography,Generic Dihedrals label under Unknown lacks geography; Smith Rock candidate has no route overlap.,
1103,8744,needs_geography,Dustbowl wording alone does not locate three original routes at Alberta Moose Mountain.,
1111,6331,needs_geography,LightHouse Boulder versus the Lighthouse differs by rock feature and climbing type; no route overlap.,
1144,9834,needs_geography,Wave Wall has no shared named routes with Duke Point despite matching boulder type.,
1144,9827,distinct_areas,Unknown Wave Wall has boulders while Sunny Side Wave Wall is a roped sector.,
1144,5650,needs_geography,Wave Wall is a generic name spanning unrelated countries; no route match.,
1299,9654,needs_geography,Bowling-themed names do not prove Unknown mixed Boulder/Sport site is Kentucky Muir Valley Bowling Alley.,
1876,10178,needs_geography,Keystone is a generic place name; no matching routes identify BC Keystone Crag.,
1876,7432,needs_geography,Keystone is a generic place name; no matching routes identify Colorado Keystone Boulder.,
1919,7160,needs_geography,The Reservoir is a generic name without route or geographic overlap.,
1678,6674,distinct_areas,Unknown Grand Canyon has English boulders; Québec Grand Canyon has French sport routes.,
1606,5727,needs_geography,Arch Valley has only a common Goldeneye route title and no Rocklands location evidence.,
242,5744,needs_geography,Backyard Boulders is a common name and lacks matching routes to Rocklands.,
755,3412,needs_geography,Hawk Wall has one unrelated route in each area; source geography unknown.,
1543,3260,needs_geography,Wavelength boulders is plausibly Welsh but route names do not corroborate the known area.,
1223,5753,needs_geography,Waterfall is generic and has no route match to Rocklands Waterfall Boulders.,
1223,9999,needs_geography,Waterfall is generic and has no route match to this geographic crag.,
1223,6874,needs_geography,Waterfall is generic and has no route match to Sedona.,
263,5753,needs_geography,Waterfall Crag is generic and has no route match to Rocklands.,
263,9999,needs_geography,Waterfall Crag is generic and has no route match to this crag.,
263,6874,needs_geography,Waterfall Crag is generic and has no route match to Sedona.,
1428,8329,needs_geography,Purgatory Boulder name alone does not locate the Unknown route at Kelowna.,
1428,6319,needs_geography,Purgatory Boulder name alone does not locate the Unknown route at Prince George.,
1428,9598,needs_geography,Purgatory Boulder name alone does not locate the Unknown route at Red River Gorge.,
6062,8361,distinct_areas,Skaha sport/trad Fern Gully and Kelowna Boulderfields boulder Fern Gully have separate parent crags and inventories.,https://nrs.objectstore.gov.bc.ca/kuwyyf/skaha_bluffs_park_map_0b2a8c2a13.pdf
7166,24519,distinct_areas,Joe’s Valley boulder Left Fork and Maple Canyon roped Left Fork are separate destinations about 50 km apart.,https://www.mountainproject.com/area/119375690/central-utah
7163,24523,distinct_areas,Joe’s Valley boulder Right Fork and Maple Canyon roped Right Fork are separate destinations about 50 km apart.,https://www.mountainproject.com/area/119375690/central-utah
8823,8944,distinct_areas,Acéphale and Steve Canyon have their own Upper Walls with disjoint route inventories.,https://kananaskis.com/local-info/activity-guides/rock-climbing-information
8824,8945,distinct_areas,Acéphale and Steve Canyon have their own Lower Walls with disjoint route inventories.,https://kananaskis.com/local-info/activity-guides/rock-climbing-information
6401,9943,distinct_areas,Hedley Road boulder and Vancouver Island Mt Doug roadside boulder have separate named destinations and no shared GPS.,
8450,27249,distinct_areas,Revelstoke Hardman Wonderland and Kokanee Lake Wonderland are independently named British Columbia boulder sectors; one generic route overlap does not locate either at the other.,
10010,10015,needs_geography,Stillwater Boulders and Stillwater Bluffs each have a Rogue Wave sector; one matching Petty Crime route is not enough to establish whether the physical areas coincide.,
10740,10793,distinct_areas,North of Whistler and Squamish-to-Whistler are different Sea to Sky corridor segments; preserve directional names.,
6041,6049,distinct_areas,Muscle Beach Lower and Upper are directional sectors of the same crag and remain separate.,
7569,11903,needs_geography,OpenBeta Archangel Valley sport/trad umbrella spans other Hatcher Pass siblings; a route-level placement audit is needed before consolidating it with original Archangel Valley.,https://www.mountainproject.com/area/106207101/hatcher-pass
4558,7564,needs_geography,Vesper boulder branch has no GPS/source corroboration; roped Vesper contains a misplaced Morning Star route. Hold area consolidation pending route-level location repair.,https://www.mountainproject.com/area/111130491/vesper-peak
4828,19052,needs_geography,Jeff’s World and Jeff’s World MN/CA border have different named child crags and source GPS roughly 10 km apart; verify the geographic extent before merging.,
20372,20385,distinct_areas,"Kancamagus Central and Eastern are different corridor regions, not duplicate names.",
21581,21582,distinct_areas,Looking Glass Guides Wall left and right sides are directional sectors despite shared coarse GPS.,
12246,12247,distinct_areas,Sunday School Wall left and right are distinct directional sectors despite shared coarse GPS.,
18980,18981,distinct_areas,Kanaranzi Buttress East and South Faces are distinct facets of the same feature.,
22240,22241,needs_geography,French Gulch Slab West Side may be a child sector of French Gulch Slab; source GPS is shared and sibling hierarchy needs review.,
24736,25014,distinct_areas,Sunshine Wall boulder sector in Arches National Park and roped Sunshine Wall under Southeast Utah have different source prefixes and climbing types; GPS alone is coarse.,
16516,16790,needs_geography,Diamond Ledge branches have close GPS but different source parent prefixes and boulder/rope inventories; verify geographic containment before merging.,
8491,9889,legitimate_parent_child,Hartland Boulders is a boulder sector within the broader Hartland/Cyberia area.,
8532,9957,legitimate_parent_child,The Crest Creek Crag denotes a specific crag within broader Crest Creek Crags.,
12427,12435,legitimate_parent_child,"Catalina Highway is a corridor within broader Mount Lemmon, not a duplicate mountain.",
4420,14239,legitimate_parent_child,Graham Boulder is a single boulder within the broad Boulder Canyon.,
18101,18102,legitimate_parent_child,Cranberry Pond Boulder is a named rock within Cranberry Pond.,
18346,18348,legitimate_parent_child,Loudon Heights main cliff is a specific cliff inside the broader Loudon Heights.,
20276,20277,legitimate_parent_child,Northeast Slabs and Corner Cracks is a specific summit sector of Mount Chocorua.,
20860,20861,legitimate_parent_child,Cox Canyon Main is a sector within Cox Canyon.,
20860,20862,legitimate_parent_child,Cox Canyon South is a sector within Cox Canyon.,
20860,20863,legitimate_parent_child,Cox Canyon West is a sector within Cox Canyon.,
20970,20971,legitimate_parent_child,"Mallette Park is a specific Red River area, not a duplicate region.",
22563,22566,legitimate_parent_child,Mocanaqua Boulder is a named rock inside Mocanaqua.,
26199,26201,legitimate_parent_child,South Peak West Face Main Area is a subarea of the wider west face.,
26391,26392,legitimate_parent_child,Hagar Mountain North is a directional subarea of the mountain.,
17165,17195,distinct_areas,Massacre Rocks and South Park are different East Idaho crags; Main Wall is a generic sector label and their source centroids are about 151 km apart.,
7010,27247,distinct_areas,Berkeley Indian Rock and Castle Rock Indian Rock are separate Bay Area climbing destinations about 75 km apart.,
25310,25353,distinct_areas,Black Mountain and Prospect Rock are distinct Vermont mountains with generic Main Cliff sectors about 83 km apart.,
7364,25310,distinct_areas,Lone Rock Point and Black Mountain are distinct Vermont sites with generic Main Cliff sectors about 128 km apart.,
5857,11275,distinct_areas,The Crag Next Door and TV Tower are separate Ontario crags with generic Main Wall sectors about 205 km apart.,
25645,25722,distinct_areas,Atkins and McAfee’s Knob are distinct Virginia destinations; Roadside is a generic sector name about 131 km apart.,
11797,11798,distinct_areas,"The source Hurricane Creek Park coordinates are in north Alabama, roughly 130 km from the official Tuscaloosa County park; preserve the two named parks.",https://www.tcpara.org/p/hurricane-creek-park
7364,25353,distinct_areas,Lone Rock Point and Prospect Rock are separate Vermont crags about 46 km apart despite generic Main Cliff labels.,
25645,25649,distinct_areas,Atkins and Bluefield Boulders are separate Virginia destinations about 29 km apart with generic Roadside Boulders labels.,
21556,21587,distinct_areas,Cedar Rock and Looking Glass Rock are separate North Carolina formations with their own South Side sectors.,
9078,11416,distinct_areas,Mont-King in Val-David and Attitude Montagne are separate Québec climbing sites about 10 km apart; Amphithéâtre is a generic sector name.,
3530,3562,needs_geography,Pine Rock (Al Qaeda) and Pine Rock have disjoint themed roped routes and no GPS or shared source identities; confirm whether they are neighboring sectors before any merge.,
6658,6770,distinct_areas,Chez Roger and Lac du Cap each have a separate Fin du Monde sector; FQME lists the Lac du Cap sector explicitly.,https://fqme.qc.ca/site_escalade/lac-du-cap/
5837,7996,distinct_areas,Calabogie Lake Cliff by the ski hill and boat-access Wabun Lake Cliff are separate features about 11 km apart.,https://climbcalabogie.ca/wabun-lake/
8864,10040,distinct_areas,Echo Canyon and McGillivray Canyon each have a Velvet Underground sector; Echo Canyon route documentation explicitly warns that the similarly named McGillivray sector has caused logging errors.,https://sendage.com/climb/venus-in-furs-velvet-underground-echo-canyon-bow-valley-ab-canada
21865,21869,distinct_areas,Generic area under Cuyahoga Falls Glens and Northeast Ohio Generic Area have different source paths and GPS about 86 km apart.,
9145,9167,distinct_areas,Herring Cove and Jack Lake have distinct Parking Lot boulder sectors with disjoint route inventories.,https://sendage.com/area/jack-lake-halifax-ns-canada
